year,trial_name,trial_type,plot_width,plot_length,plant_date,harvest_date,location,accession_name,plot_name,cross_year,rep_number,plot_number,check_test,notes,obs_DM_gravity,obs_yield_ha
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3658-75,201467BCEPR_mala_rep1_GM3658-75_52,2007,1,52,test,TZMRK180001_1-1,16.21,1
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3658-77,201467BCEPR_mala_rep1_GM3658-77_48,2007,1,48,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3658-81,201467BCEPR_mala_rep1_GM3658-81_2,2007,1,2,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3666-77,201467BCEPR_mala_rep1_GM3666-77_7,2007,1,7,test,TZMRK180001_1-1,20.43459959,2.5
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3667-49,201467BCEPR_mala_rep1_GM3667-49_20,2007,1,20,test,TZMRK180001_1-1,17.80858586,15.375
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3667-55,201467BCEPR_mala_rep1_GM3667-55_47,2007,1,47,test,TZMRK180001_1-1,20.10163934,0.75
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3667-64,201467BCEPR_mala_rep1_GM3667-64_35,2007,1,35,test,TZMRK180001_1-1,17.9471115,4.625
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3667-85,201467BCEPR_mala_rep1_GM3667-85_50,2007,1,50,test,TZMRK180001_1-1,16.21,2
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3675-49,201467BCEPR_mala_rep1_GM3675-49_36,2007,1,36,test,TZMRK180001_1-1,20.16396541,7.625
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3675-52,201467BCEPR_mala_rep1_GM3675-52_46,2007,1,46,test,TZMRK180001_1-1,19.02888041,0.5
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3699-111,201467BCEPR_mala_rep1_GM3699-111_25,2007,1,25,test,TZMRK180001_1-1,23.01578947,2.125
