"Experiment","rep_number","accession_name","yield_ha","year","location"
"201546BCPRC_mala",1,"GM3518-34",8.125,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-42",15,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-48",6.041666667,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-49",3.541666667,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-54",1.875,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-66",10.83333333,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-68",7.708333333,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-70",10.83333333,"2015","Malambo"
"201546BCPRC_mala",1,"GM3524-72",3.125,"2015","Malambo"
"201546BCPRC_mala",1,"GM3533-72",13.33333333,"2015","Malambo"
"201546BCPRC_mala",1,"GM3594-46",1.458333333,"2015","Malambo"
"201546BCPRC_mala",1,"GM3594-70",6.041666667,"2015","Malambo"
"201546BCPRC_mala",1,"GM3650-15",3.541666667,"2015","Malambo"
"201546BCPRC_mala",1,"GM3738-24",5,"2015","Malambo"
"201546BCPRC_mala",1,"SM3511-6",10.41666667,"2015","Malambo"
"201546BCPRC_mala",1,"SM3536-44",2.5,"2015","Malambo"
"201546BCPRC_mala",1,"SM3607-37",12.70833333,"2015","Malambo"
"201546BCPRC_mala",1,"SM3607-84",36.25,"2015","Malambo"
"201546BCPRC_mala",1,"SMB2446-2",22.70833333,"2015","Malambo"
"201546BCPRC_mala",1,"TAI8",17.70833333,"2015","Malambo"
