"Experiment","rep_number","accession_name","yield_ha","year","plot_name","location"
"201467BCEPR_mala","1","GM3658-75",1,"2014","201467BCEPR_mala_rep1_GM3658-75_52","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3666-77",2.5,"2014","201467BCEPR_mala_rep1_GM3666-77_7","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-49",15.375,"2014","201467BCEPR_mala_rep1_GM3667-49_20","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-55",0.75,"2014","201467BCEPR_mala_rep1_GM3667-55_47","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-64",4.625,"2014","201467BCEPR_mala_rep1_GM3667-64_35","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-85",2,"2014","201467BCEPR_mala_rep1_GM3667-85_50","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3675-49",7.625,"2014","201467BCEPR_mala_rep1_GM3675-49_36","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3675-52",0.5,"2014","201467BCEPR_mala_rep1_GM3675-52_46","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3699-111",2.125,"2014","201467BCEPR_mala_rep1_GM3699-111_25","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3615-42",4.25,"2014","201467BCEPR_mala_rep1_SM3615-42_26","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3622-18",7.25,"2014","201467BCEPR_mala_rep1_SM3622-18_1","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3623-31",9.375,"2014","201467BCEPR_mala_rep1_SM3623-31_38","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3623-7",3.5,"2014","201467BCEPR_mala_rep1_SM3623-7_27","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","TAI8",11.375,"2014","201467BCEPR_mala_rep1_TAI8_6","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","YT1-4",0.875,"2014","201467BCEPR_mala_rep1_YT1-4_23","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","AM1216-3",4.375,"2014","201467BCEPR_mala_rep2_AM1216-3_75","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","AM1228-2",0.5,"2014","201467BCEPR_mala_rep2_AM1228-2_64","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","CG1141-1",10.625,"2014","201467BCEPR_mala_rep2_CG1141-1_76","Malambo. Atlantico, Colombia"
