"Experiment","rep_number","accession_name","DM_gravity","year","plot_name","location"
"201467BCEPR_mala","2","SM3623-31",19.9946674,"2014","201467BCEPR_mala_rep2_SM3623-31_72","Malambo"
"201467BCEPR_mala","2","SM3623-7",22.70609756,"2014","201467BCEPR_mala_rep2_SM3623-7_63","Malambo"
"201467BCEPR_mala","2","SMB2446-2",34.04422348,"2014","201467BCEPR_mala_rep2_SMB2446-2_92","Malambo"
"201467BCEPR_mala","2","TAI8",31.9955243,"2014","201467BCEPR_mala_rep2_TAI8_108","Malambo"
"201467BCEPR_mala","2","TAI8",31.9955243,"2014","201467BCEPR_mala_rep2_TAI8_74","Malambo"
"201467BCEPR_mala","2","TAI8",33.33346044,"2014","201467BCEPR_mala_rep2_TAI8_108","Malambo"
"201467BCEPR_mala","2","TAI8",33.33346044,"2014","201467BCEPR_mala_rep2_TAI8_74","Malambo"
"201467BCEPR_mala","2","YT1-4",16.21,"2014","201467BCEPR_mala_rep2_YT1-4_58","Malambo"
"201468BCEPR_mala","1","CG1141-1",31.98958944,"2014","201468BCEPR_mala_rep1_CG1141-1_50","Malambo"
"201468BCEPR_mala","1","CM4919-1",26.0531482,"2014","201468BCEPR_mala_rep1_CM4919-1_48","Malambo"
"201468BCEPR_mala","1","GM4264-2",27.88557352,"2014","201468BCEPR_mala_rep1_GM4264-2_34","Malambo"
"201468BCEPR_mala","1","GM4276-1",19.43979592,"2014","201468BCEPR_mala_rep1_GM4276-1_10","Malambo"
"201468BCEPR_mala","1","GM4279-4",28.85712743,"2014","201468BCEPR_mala_rep1_GM4279-4_38","Malambo"
"201468BCEPR_mala","1","GM4288-5",29.32780749,"2014","201468BCEPR_mala_rep1_GM4288-5_15","Malambo"
"201468BCEPR_mala","1","GM4292-1",22.80416667,"2014","201468BCEPR_mala_rep1_GM4292-1_19","Malambo"
"201468BCEPR_mala","1","GM4300-1",20.86949763,"2014","201468BCEPR_mala_rep1_GM4300-1_20","Malambo"
"201468BCEPR_mala","1","GM4310-2",16.67342606,"2014","201468BCEPR_mala_rep1_GM4310-2_1","Malambo"
"201468BCEPR_mala","1","GM4310-4",24.88114562,"2014","201468BCEPR_mala_rep1_GM4310-4_25","Malambo"
"201468BCEPR_mala","1","GM4310-5",17.36941392,"2014","201468BCEPR_mala_rep1_GM4310-5_6","Malambo"
"201468BCEPR_mala","1","GM4310-9",23.69941815,"2014","201468BCEPR_mala_rep1_GM4310-9_18","Malambo"
"201468BCEPR_mala","1","GM4313-3",19.59204903,"2014","201468BCEPR_mala_rep1_GM4313-3_43","Malambo"
"201468BCEPR_mala","1","GM4316-1",16.21,"2014","201468BCEPR_mala_rep1_GM4316-1_2","Malambo"
"201468BCEPR_mala","1","GM4327-10",16.69103343,"2014","201468BCEPR_mala_rep1_GM4327-10_16","Malambo"
"201468BCEPR_mala","1","GM4328-15",17.19298137,"2014","201468BCEPR_mala_rep1_GM4328-15_30","Malambo"
"201468BCEPR_mala","1","GM4328-4",17.54479281,"2014","201468BCEPR_mala_rep1_GM4328-4_8","Malambo"
"201468BCEPR_mala","1","GM4329-2",16.73563521,"2014","201468BCEPR_mala_rep1_GM4329-2_4","Malambo"
"201468BCEPR_mala","1","GM4330-2",16.91651786,"2014","201468BCEPR_mala_rep1_GM4330-2_9","Malambo"
"201468BCEPR_mala","1","GM4330-4",20.08437999,"2014","201468BCEPR_mala_rep1_GM4330-4_49","Malambo"
"201468BCEPR_mala","1","GM4334-1",16.21,"2014","201468BCEPR_mala_rep1_GM4334-1_3","Malambo"
"201468BCEPR_mala","1","GM4341-3",22.05750894,"2014","201468BCEPR_mala_rep1_GM4341-3_41","Malambo"
"201468BCEPR_mala","1","GM4345-5",21.13897306,"2014","201468BCEPR_mala_rep1_GM4345-5_44","Malambo"
"201468BCEPR_mala","1","GM4347-1",22.80416667,"2014","201468BCEPR_mala_rep1_GM4347-1_36","Malambo"
